T,rho,c_p
300,1.0986E-2,2.3698E2
400,1.0954E-2,2.6521E2
500,1.0921E-2,2.8253E2
600,1.0889E-2,2.9403E2
700,1.0856E-2,3.0181E2
800,1.0824E-2,3.0702E2
900,1.0790E-2,3.1050E2
1000,1.0757E-2,3.1286E2
1100,1.0723E-2,3.1466E2
1200,1.0688E-2,3.1640E2
1300,1.0652E-2,3.1850E2
1400,1.0614E-2,3.2139E2
1500,1.0575E-2,3.2545E2
1600,1.0534E-2,3.3102E2
1700,1.0491E-2,3.3845E2
1800,1.0447E-2,3.4803E2
1900,1.0400E-2,3.6005E2
2000,1.0350E-2,3.7475E2
2100,1.0298E-2,3.9239E2
2200,1.0243E-2,4.1316E2
2300,1.0185E-2,4.3726E2
